simetride	Simetrid
lorbamate	Lorbamat
cells that can produce antibodies	Zellen,die Antikörper bilden können
tiemonium iodide	Tiemoniumiodid
introductory period	Einleitungsphase
hydrochlorothiazide	Hydrochlorothiazid
dichotic	dichotisch
sex ratio	Sex-Ratio
fluctuation method	Fluktuationstest|Luria-Delbrück-Experiment|Fluktuationsmethode
fluctuation test	Fluktuationstest|Luria-Delbrück-Experiment|Fluktuationsmethode
nacolomab tafenatox	Nacolomabtafenatox
fenbutrazate	Fenbutrazat
olradipine	Olradipin
SDP	SAD|Staatliches Arzneimitteldepot SA
State Deposit of Pharmaceuticals SA	SAD|Staatliches Arzneimitteldepot SA
alternate-site medicine	Verlagerung der medizinischen Versorgung in die ambulante Primärversorgung
endoplasmic reticulum	endoplasmatisches Reticulum
aeromedical	luftfahrtmedizinisch
organ removal agency	zur Organentnahme berechtigte Stelle
bromerguride	Bromergurid
nifurthiazole	Nifurthiazol
conventional laboratory animals	Versuchstiere mit gewoehnlichem Keimstatus|konventionelle Versuchstiere
radiation-induced thyroid cancer	strahleninduzierter Schilddrüsenkrebs
medical evacuation sheet	ärztliches Abbergungsblatt
bending test	Biegeversuch
constrictor	Constrictor
immunobiology	Immunbiologie
perpendicular	perpendicularis
endpoint	Endpunkt
chloroprednisone	Chloroprednison
sealed sterile container	Luftdicht verschlossenes Behaeltnis
European schedule of occupational diseases	Europäische Liste der Berufskrankheiten
brain's conceptual system	begriffsbildendes System des Gehirns
morphine	Morphium|Morphin
bias	Nullablage
blastic crisis	Blastenkrise|Blastenschub
vasodilation	Erweiterung der Blutgefäße
night duty	Nachtdienst
anisacril	Anisacril
gustatory nerves	Geschmacksnerven
probang test	Probangtest|MKS-Virus-Test durch Rachen-Kehlkopf-Abstrich
test carried out by the laryngo-pharyngeal scrape method	Probangtest|MKS-Virus-Test durch Rachen-Kehlkopf-Abstrich
medical orderly	San.|Sanitäter
brain damage	Hirnverletzung
digital rectal examination	Rektaluntersuchung mit dem Finger
super spreader	Superüberträger
hydrocephalic cry	Cri hydrencéphalique
Coindet sign	Cri hydrencéphalique
unit with lamp	Behandlungseinheit mit Lampe
dysbiosis	Dysbiose|Dysbakterie
namirotene	Namiroten
esophagogastroduodenoscopy	Endoskopie der Speiseröhre,des Magens und des Zwölffingerdarms
oesophagogastroduodenoscopy	Endoskopie der Speiseröhre,des Magens und des Zwölffingerdarms
lyxose	Lyxose
ferritin	Ferritin
EPHA	Europäische Allianz für öffentliche Gesundheit|EPHA
European Public Health Alliance	Europäische Allianz für öffentliche Gesundheit|EPHA
suction apparatus	Frischluftsaugschlauchgerät
demand reduction	Nachfragereduktion|Reduzierung der Nachfrage
concomitant treatment	gleichzeitige Therapie|sonstige medikamentöse Behandlung
concomitant therapy	gleichzeitige Therapie|sonstige medikamentöse Behandlung
concominant medication	gleichzeitige Therapie|sonstige medikamentöse Behandlung
depth of breath	Atemtiefe
esproquine	Esprochin
implantation	Implantation
ciclazindol	Ciclazindol
terbequinil	Terbechinil
cretinism	Kretinismus
excised particle	Exzisat
hen's-egg-test	HET-Prüfung|HET|bebrütetes Hühnerei-Test
HET	HET-Prüfung|HET|bebrütetes Hühnerei-Test
sulfaguanidine	Sulfaguanidin
monalazone disodium	Monalazondinatrium
intravascular catheter	intravasaler Katheter
colectomy	Kolektomie
safety update reports for marketed drugs	aktualisierte Sicherheitsberichte über im Verkehr befindliche Arzneimittel
alicyclic	alizyklisch
intestinal	intestinalis|intestinal
EANS	Europäische Akademie der Ernährungswissenschaften
European Academy of Nutritional Sciences	Europäische Akademie der Ernährungswissenschaften
plasma Factor VIII activity	plasmatische Faktor-VIII-Aktivität
upper foot	vorderer Fußteil
medical evacuation flight	MEDEVAC-Flug
medevac flight	MEDEVAC-Flug
extinguishant	Feuerlöschmittel
closed-angle glaucoma	Winkelblockglaukom|akute Winkelblockglaukom|akutes Winkelblock
acute congestive glaucoma	Winkelblockglaukom|akute Winkelblockglaukom|akutes Winkelblock
angle-closure glaucoma	Winkelblockglaukom|akute Winkelblockglaukom|akutes Winkelblock
narrow-angle glaucoma	Winkelblockglaukom|akute Winkelblockglaukom|akutes Winkelblock
opacifying preparation for X-ray examinations	Roentgenkontrastmittel
bacterial dissociation	Bakteriendissoziation
aceclofenac	Aceclofenac
rehydration	Rehydratation
confirmation of death	Todesfeststellung
Scientific Committee on Trenbolone and Zeranol	Wissenschaftlicher Ausschuss über Trembolon und Zeranol
mineral membrane	anorganische Membran|mineralische Membran
nafarelin	Nafarelin
metabolite of ecotoxicological concern	Stoffwechselprodukt von ökotoxikologischer Bedeutung
pindolol	Pindolol
ablate tissue	Gewebe zerstören
fatigue fever	Ermüdungsfieber
genetic stability	genetische Stabilität
fluvoxamine	Fluvoxamin
alterations of metabolism	Fettstoffwechselstörungen
recircularized plasmid	wieder zu einem Ring geschlossenes Plasmid
2,3-dihydroxy-6-nitro-7-sulfamoyl-lenzo-quinoxaline	NBQX
NBQX	NBQX
ameltolide	Ameltolid
farmed game meat	Farmwildfleisch|Fleisch von Wildtieren aus Zuchtbetrieben|Fleisch von Zuchtwild
farm game meat	Farmwildfleisch|Fleisch von Wildtieren aus Zuchtbetrieben|Fleisch von Zuchtwild
differential psychology	differentielle Psychologie
hypogonadotropic hypogenitalism	hypogonadotroper Hypogenitalismus
secondary hypogenitalism	hypogonadotroper Hypogenitalismus
hypogonadotropic hypogonadism	hypogonadotroper Hypogenitalismus
secondary hypogonadism	hypogonadotroper Hypogenitalismus
infirmity	Gebrechlichkeit|Schwäche
psycholeptic	Psycholeptica|Psycholeptika
psychomotor	psychomotorisch
Venn diagram	Mengendiagramm
bio-industrial product	bioindustrielles Produkt
saluretic	Saluretica|Saluretika
amlodipine	Amlodipin
ballistic cardiography	Ballistokardiographie
high-risk volunteer	Freiwilliger aus Risikogruppen
orthopaedic technician	Orthopädietechnik-Mechaniker|Orthopädie-Techniker
orthopedic mechanic	Orthopädietechnik-Mechaniker|Orthopädie-Techniker
cryo-ophthalmology	Kryoophtalmologie
therapeutic use of foetal tissues	therapeutische Verwendung von Fetalgewebe
urine mucopolysaccharide	Mukopolysaccharide im Urin
urinary mucopolysaccharide	Mukopolysaccharide im Urin
marker hom 3-10	Marker hom 3-10
pharmaceutical crime	Arzneimittelkriminalität
Hydroxytryptamine	HT|Hydroxytryptamin
HT	HT|Hydroxytryptamin
E 339 iii	TNP|E 339 iii|Trinatriumphosphat
trisodium phosphate	TNP|E 339 iii|Trinatriumphosphat
synthesis of artificial enzymes	Synthese künstlicher Enzyme
polyuria	Polyurie
hyporeflexia	Reflexabschwächung|Hyporeflexie
magnesium sulphate	Magnesiumsulfat
catgut	Katgut
LRS-method	LRS-Methode
hearing-reading-speaking system	LRS-Methode
listening-reading-speaking method	LRS-Methode
half sibs	Halbgeschwister
osteoclastic activity	Osteoklasie|Osteoklase
necrotizing otitis media	Mittelohrentzuendung mit Zerstoerung der Gehoerknoechelchen|des Trommelfells usw
trip	Reise|Trip
thallium scan	Thallium-Szintigraphie
micrography	Mikrografie - Mikrographie
malaria survey	Malaria-Survey
gastroenterology	Gastro-Enterologie
feed formula given	verabreichtes Futter
production plant	Herstellungsbetrieb
Study Group on Accident Consequence Modelling	Studiengruppe Modellisierung der Umfallfolgen
radiosensitive	strahlenempfindlich
oval window	ovales Fenster|Vorhofsfenster|fenestra tympani
benperidol	Benperidol
terminal illness	tödliche Krankheit
fatal illness	tödliche Krankheit
metiamide	Metiamid
static muscle contraction	isometrische Muskelkontraktion
transport host	Zwischenwirt
opportunistic agent	opportunistischer Erreger
demonstration	Kundgebung|Demonstration
reference dose value	Referenz-Dosiswert
pathological process	Krankheitsgeschehen
continuous culture	kontinuierliche Aufzucht|kontinuierliche Kultur
overall migration limit	Gesamtmigrationsgrenzwert
OML	Gesamtmigrationsgrenzwert
agents acting against endoparasites	Mittel gegen Endoparasiten
spectrogram	Spektrogramm
methyltestosterone	Methyltestosteron
milk derivative	Milcherzeugnis
depressive psychosis	depressive Psychose
epirizole	Epirizol
interspecific hybridisation	Artkreuzung|interspezifische Artkreuzung
interspecific hybridization	Artkreuzung|interspezifische Artkreuzung
fall of temperature	Temperatursturz|Temperaturabfall
devazepide	Devazepid
extrinsic metabolic activation	äußerliche Stoffwechselaktivierung
morning gymnastics	Frühgymnastik
frabuprofen	Frabuprofen
X-ray department	Röntgenabteilung
nurse's overall	Kittel für Pflegerinnen
poison centre notification	Meldung an Giftnotrufzentralen|Poison Centre Notification|PCN
PCN	Meldung an Giftnotrufzentralen|Poison Centre Notification|PCN
anti-core antibody	Anti-Core-Antikörper
pronounced reduction of the ability to walk	ausgesprochene Gehbehinderung
xenia	Xenie
even-skipped homeobox gene	even-skipped Homöobox-Gen
Fe59 study	Untersuchung des Plasmaeisenumsatzes und der Eisenutilisation mit Eisen 59
data concerning health	persönliche medizinische Daten|Gesundheitsdaten
personal health data	persönliche medizinische Daten|Gesundheitsdaten
personal data concerning health	persönliche medizinische Daten|Gesundheitsdaten
health data	persönliche medizinische Daten|Gesundheitsdaten
guanadrel	Guanadrel
EU law on access to services	EU-Gesetzgebung über den Zugang zu sozialen und Gesundheitsdiensten
Beating Cancer	Krebsbekämpfung|Sonderausschuss zu Krebsbekämpfung
Special Committee on Beating Cancer	Krebsbekämpfung|Sonderausschuss zu Krebsbekämpfung
amindocate	Amindocat
cord blood	Nabelschnurblut
melarsomine	Melarsomin
domoxin	Domoxin
Schilling test	Schilling-Test|Urinexkretionstest|UET
veterinary approval number	Veterinärkontrollnummer|Veterinärzulassungsnummer
activation	Provokationsmethode
WHO	WHO|Weltgesundheitsorganisation
World Health Organization	WHO|Weltgesundheitsorganisation
risk difference	Risikodifferenz
communicating	Begegnung
meeting	Begegnung
microbial dehydrogenation	mikrobielle Dehydrierung
mental depression	Depression
anti-gp160 antibody	GP 160 AK|anti Glykoprotein-160 Antikörper
sleep	Schlaf
oncogenesis	Geschwulstkrankheit
charges applied	Gebührenaufstellung
cell of the monocyte-macrophage lineage	Zelle der Monocyten-Makrophagen-Linie
criterion	Kriterium
MAH	Inhaber der Zulassung|Inhaber der Genehmigung für das Inverkehrbringen|Zulassungsinhaber
marketing authorisation holder	Inhaber der Zulassung|Inhaber der Genehmigung für das Inverkehrbringen|Zulassungsinhaber
sensitivity testing	Sensitivitätstestung
polyarthritis nodosa	polyarthritis nodosa
self-limiting infection	selbstlimitierende Infektion
misoprostol	Misoprostol
dual nucleoside therapy	Doppelnukleosidtherapie
continuous stirred-tank reactor	Rührfermenter
person-time incidence rate	Inzidenzdichte
odds	Odds
chance	Odds
Verhaltnisziffer	Odds
pharmacologically effective dosis	pharmakologisch wirksame Dosierung
foetus created for the purpose of procreation	zu Fortpflanzungszwecken erzeugter Fetus
popliteal artery	Arteria poplitea
ovula	Ovula
ovule	Ovula
rehabilitation	Rehabilitation
isocromil	Isocromil
tazarotene	Tazaroten
thermodilution catheter	Thermodilutionskatheter
anaesthetising chair-bed	Narkosliegesessel
..health centre	ärztliche Beratungsstelle
..health clinic	ärztliche Beratungsstelle
medical centre and clinic	ärztliche Beratungsstelle
Principal component analysis	Hauptkomponenten-Analyse
tarsorrhaphy	Blepharorrhaphie|Tarsorrhaphie
blepharorrhaphy	Blepharorrhaphie|Tarsorrhaphie
gastroscope	Endoskop zur Magenuntersuchung|Gastroskop
trenbolone acetate	Trenbolonacetat
remission	Remission
skin irritant	hautreizende Stoffe
cryoprecipitate	Kryopräzipitat
RFLP mapping	RFLP-Analyse|Restriktionsfragmentlängenpolymorphismen-Analyse
auditive feedback	Rückmeldung über die Lautbildung
tiprinast	Tiprinast
mono-national active substance	mononationaler Wirkstoff
schizophrenia	Affektzerfall|Spaltungsirresein
protective food	essentielle Nahrungsmittel
occupational hazard	Berufsrisiko
arminopyrine	Aminopyrin
additional food	Beinahrung|Zukost|Beikost|Beifütterung
piribedil	Piribedil
microbial contamination of milk	mikrobielle Kontamination von Milch
lorglumide	Lorglumid
ECHS	ECHS-Regelung|ECHS|Regelung zur Freigabe von Herden für die Ausfuhr
Export Certified Herd Scheme	ECHS-Regelung|ECHS|Regelung zur Freigabe von Herden für die Ausfuhr
levomepromazine	Levomepromazin
levopromanzin	Levomepromazin
suspension method	Suspensionsmethode
suspension assay	Suspensionsmethode
acetryptine	Acetryptin
ampicillin	Ampicillin
salazosulfadimidine	Salazosulfadimidin
Contingency table	Kontingenztafel
cognitive function	Erkenntnisvermögen
radiological physicist	Strahlenphysiker
radiation physicist	Strahlenphysiker
radio physicist	Strahlenphysiker
octabenzone	Octabenzon
glycogenic cardiomegalia	Pompe Krankheit|Rhabdomyomatosis diffusa cordis|Cardiomegalia glycogenica
thermogenic response	thermogenische Reaktion
oil bath	Ölbad
reaction time	Schrecksekunde
hexamidine	Hexamidin
alalia	Alalie
multi-drug-user	Polytoxikomane
multiple-dependent	Polytoxikomane
tetanus-prone	tetanusgefährdet
proinsulin	Proinsulin
embryo development	Embryonenentwicklung
nolpitantium besilate	Nolpitantiumbesilat
chimanine	Chimanine
leave blank	freilassen
destructive impulse	Zerstörungstrieb|Zerstörungsdrang
destructive urge	Zerstörungstrieb|Zerstörungsdrang
feclemine	Feclemin
closed-loop control for drug infusion	Kontrolle im geschlossenen System zur Infusion von Medikamenten
health claim	gesundheitsbezogene Angabe
vesnarinone	Vesnarinon
renal tubular failure	Versagen des Tubulus renalis
daptomycin	Daptomycin
toremifene	Toremifen
fusion of embryos	Vereinigung von Embryonen
cyprolidol	Cyprolidol
calcitriol	Calcitriol
post-haemorrhagic shock of the newborn	posthämorrhagischer Schock des Neugeborenen
therapeutic respiration apparatus	Gerät für Atmungstherapie
overspill	ueberhoeren
casualty animal	verletztes Tier
whole human blood	menschliches Vollblut
dembrexine	Dembrexin
congenital fetal atelectasis	angeborene fetale Atelektase
congenital foetal atelectasis	angeborene fetale Atelektase
mezilamine	Mezilamin
Haller tripod	Haller-Dreifuß|Haller-Tripus
VPU gene	VPU Gen
pushchair	Sportwagen
stroller	Sportwagen
dressing room	Verbandszimmer
follow-up observation	Nachfolgebeobachtung|Nachbeobachtung
reversion test	Rückmutationstest an Bakterien|unter Verwendung von Bakterien durchgeführter Rückmutationstest|Reversionstest|Rückmutationstest unter Verwendung von Bakterien|Rückmutationstest
reverse mutation test using bacteria	Rückmutationstest an Bakterien|unter Verwendung von Bakterien durchgeführter Rückmutationstest|Reversionstest|Rückmutationstest unter Verwendung von Bakterien|Rückmutationstest
reverse mutation test	Rückmutationstest an Bakterien|unter Verwendung von Bakterien durchgeführter Rückmutationstest|Reversionstest|Rückmutationstest unter Verwendung von Bakterien|Rückmutationstest
bacterial reverse mutation test	Rückmutationstest an Bakterien|unter Verwendung von Bakterien durchgeführter Rückmutationstest|Reversionstest|Rückmutationstest unter Verwendung von Bakterien|Rückmutationstest
slaughter staff	Schlachtpersonal
psychomotor activities	psychomotorische Tätigkeiten
control	Regulierung
ester with a long half-life	Ester mit langer Halbwertzeit
relative effort	relative Muskelarbeit
sodium picosulfate	Natriumpicosulfat
technetium-99 bone scintigraphy	Knochenszintigrafie nach Applikation von Technetium-99
Tc99 bone scintigraphy	Knochenszintigrafie nach Applikation von Technetium-99
hepatic artery	Arteria hepatica communis|Arteria hepatica|gemeinsame Leberarterie
dental accessory	Dentalzubehör
nonlaser angioplasty procedures	herkömmliche Angioplastie-Verfahren
PO3	Phosphorylgruppe
phosphoryl group	Phosphorylgruppe
lod score	Lod-Score
corrosive substances and preparations	ätzende Stoffe und Zubereitungen
talsaclidine	Talsaclidin
idoxifene	Idoxifen
paediatric cancer	Krebserkrankung bei Kindern|pädiatrische Krebserkrankung
corset maker	Miederwarenerzeuger
EURL	Referanzlaboratorium der Europäischen Union|EU-Referenzlaboratorium|Gemeinschaftsreferenzlaboratorium|Gemeinschaftliches Referenzlabor|Referenzlaboratorium der EU
European Union reference laboratory	Referanzlaboratorium der Europäischen Union|EU-Referenzlaboratorium|Gemeinschaftsreferenzlaboratorium|Gemeinschaftliches Referenzlabor|Referenzlaboratorium der EU
EU reference laboratory	Referanzlaboratorium der Europäischen Union|EU-Referenzlaboratorium|Gemeinschaftsreferenzlaboratorium|Gemeinschaftliches Referenzlabor|Referenzlaboratorium der EU
CRL	Referanzlaboratorium der Europäischen Union|EU-Referenzlaboratorium|Gemeinschaftsreferenzlaboratorium|Gemeinschaftliches Referenzlabor|Referenzlaboratorium der EU
Community reference laboratory	Referanzlaboratorium der Europäischen Union|EU-Referenzlaboratorium|Gemeinschaftsreferenzlaboratorium|Gemeinschaftliches Referenzlabor|Referenzlaboratorium der EU
pathogenic human retrovirus	für den Menschen pathogenes Retrovirus
naloxone	Naloxon
reduced libido	verminderte Libido
morphological	morphologisch
enlimomab pegol	Enlimomab Pegol
vitamin B3	Vitamin B3
